MP db name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Notes (State's Averages)
Sanjay Jaiswal,Elected,18-May-09,In office,Bihar,Paschim Champaran,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",44,3,0,33,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Sanjay Nirupam,Elected,18-May-09,In office,Maharashtra,Mumbai-North,Indian National Congress,Male,Graduate,"B.A. (Hons.) Political Science; Educated at A.N. College, Patna",45,15,0,99,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Sanjay Shamrao Dhotre,Elected,18-May-09,In office,Maharashtra,Akola,Bharatiya Janata Party,Male,Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",51,4,0,97,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Sanjay Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Bijnor,Rashtriya Lok Dal,Male,Graduate,"B.A., LL.B.; Educated at S.D. Degree College, Muzaffar Nagar and D.A.V. Degree College, Muzaffar Nagar, Ch. Charan Singh University, Meerut",48,8,0,148,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Sanjay Sinh,Elected,18-May-09,In office,Uttar Pradesh,Sultanpur,Indian National Congress,Male,Doctorate,"M.A. (Hindi), Ph.D.; Educated at R.R.P.G. College, Amethi District,; Sultanpur, Uttar Pradesh",58,3,0,111,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Sanjeev Ganesh Naik,Elected,18-May-09,In office,Maharashtra,Thane,Nationalist Congress Party,Male,Inter/ Higher Secondary,"Educated at Mumbai University, Maharashtra",38,9,0,177,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Sansuma Khunggur Bwiswmuthiary,Elected,18-May-09,In office,Assam,Kokrajhar,Bodoland People's Front,Male,Graduate,"B.A. (Hons. in Political Science), Prabin (Hindi); Educated at Ouabari Lower Primary School, Hashraobari, Borobazar High School, Bijni, Kokrajhar College, under Guwahati University and the Asom Rashtra Bhasha Prachar Samiti, Guwahati, Assam",50,15,0,27,55%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Santosh Chowdhary,Elected,18-May-09,In office,Punjab,Hoshiarpur,Indian National Congress,Female,Post Graduate,"M.A., B.Ed., Certificates in Home Science, Poultry and Animal Husbandry; Educated at Govt. College for Girls, Chandigarh, Govt. College of Education, Chandigarh, Punjab University and Himachal Pradesh University",65,9,0,0,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Sarika Singh Baghel,Elected,18-May-09,In office,Uttar Pradesh,Hathras,Rashtriya Lok Dal,Female,Post Graduate,"M.A. (English); Educated at P. C. Bagla College, Hathras",29,0,0,0,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Saroj Pandey,Elected,18-May-09,In office,Chhattisgarh,Durg,Bharatiya Janata Party,Female,Post Graduate,"M.Sc. (Child Development); Educated at Bhilai Mahila College (Pt. Ravishankar University, Raipur) ",42,6,0,46,74%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Satabdi Roy,Elected,18-May-09,In office,West Bengal,Birbhum,All India Trinamool Congress,Female,Graduate,B.A.,40,1,0,0,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Sathyanarayana Sarvey,Elected,18-May-09,In office,Andhra Pradesh,Malkajgiri,Indian National Congress,Male,Post Graduate,"B.A, LL.B, LL.M.; Educated at Osmania University, Hyderabad and; Evening College of Law, Thilak Road, Abids, Hyderabad; Andhra Pradesh",56,3,0,156,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Satpal Maharaj,Elected,18-May-09,In office,Uttarakhand,Garhwal,Indian National Congress,Male,Inter/ Higher Secondary,"Senior Cambridge; Educated at St. George`s College, Mussoorie (Uttarakhand) ",58,28,4,12,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.5,2.8,20,91%,
Saugata Roy,Elected,18-May-09,In office,West Bengal,Dum Dum,All India Trinamool Congress,Male,Post Graduate,"M.Sc., LL.B.; Jogesh Chandra Law College, Kolkata-33",63,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Seema Upadhyay,Elected,18-May-09,In office,Uttar Pradesh,Fatehpur Sikri,Bahujan Samaj Party,Female,Graduate,B.A.; Educated at Ismail Degree College,44,0,0,0,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Selja,Elected,18-May-09,In office,Haryana,Ambala,Indian National Congress,Female,Post Graduate,"M.A., M.Phil.; Educated at Convent of Jesus & Mary, New Delhi,; Graduation and Post-graduation from Panjab University, Chandigarh",47,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shafiqur Rahman Barq,Elected,18-May-09,In office,Uttar Pradesh,Sambhal,Bahujan Samaj Party,Male,Graduate,"B.A.; Educated at Agra University, Agra, Uttar Pradesh",80,10,0,26,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Shailendra Kumar,Elected,18-May-09,In office,Uttar Pradesh,Kaushambi,Samajwadi Party,Male,Post Graduate,M. Com.; Educated at Allahabad University (Uttar Pradesh) ,50,100,3,61,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Sharad Chandra Govindrao Pawar,Elected,18-May-09,In office,Maharashtra,Madha,Nationalist Congress Party,Male,Graduate,B.Com.,69,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sharad Yadav,Elected,18-May-09,In office,Bihar,Madhepura,Janata Dal (United),Male,Graduate,"B.Sc., B.E. (Electrical); Educated at Robertson College and Jabalpur Engineering College, Jabalpur, Madhya Pradesh",63,43,0,41,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Sharifuddin Shariq,Elected,18-May-09,In office,Jammu and Kashmir,Baramulla,Jammu and Kashmir National Conference,Male,Post Graduate,"M.A. (Urdu), B.Ed, D.T. and LL.B.; Educated at Jammu and Kashmir University and Aligarh Muslim University, Aligarh (UP) ",75,16,0,28,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.2,0,40,87%,
Shashi Tharoor,Elected,18-May-09,In office,Kerala,Thiruvananthapuram,Indian National Congress,Male,Doctorate,"Ph.D., D.Litt. (Hons.), M.A., M.A.L.D. and B.A. (Hons.); Educated at St Stephen`s College, New Delhi and Fletcher School of Law and Diplomacy at Tufts University, USA",54,1,0,3,100%,"This MP was a Minister. He tendered his resignation on 18th April, 2010. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th April, 2010 (All data updated till 4th Aug 2010)",2.3,0,21,79%,4.2,0.1,30,90%,
Shatrughan Sinha,Elected,18-May-09,In office,Bihar,Patna Sahib,Bharatiya Janata Party,Male,Graduate,"Educated at Film & Television Institute of Pune (FTII), Maharashtra",64,1,0,0,66%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Sheesh Ram Ola,Elected,18-May-09,In office,Rajasthan,Jhunjhunu,Indian National Congress,Male,Matric,"Educated at Education Board, Rajasthan",83,0,0,4,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Sher Singh Ghubaya,Elected,18-May-09,In office,Punjab,Ferozpur,Shiromani Akali Dal,Male,Matric,,48,4,0,8,63%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Shibu Soren,Elected,18-May-09,In office,Jharkhand,Dumka,Jharkhand Mukti Morcha,Male,Matric,"Educated at Gola High School, Hazaribagh (Jharkhand) ",66,0,0,0,12%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Shivaji Adhalrao Patil,Elected,18-May-09,In office,Maharashtra,Shirur,Shiv Sena,Male,Inter/ Higher Secondary,"Intermediate (Arts); Educated at Shivaji University, Kolhapur, Maharashtra.",54,5,0,247,40%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Shivaramagouda Shivanagouda,Elected,18-May-09,In office,Karnataka,Koppal,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Karnataka College, Dhawar and Karnataka University Law College, Dhawar",56,2,0,34,64%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
Shivraj Singh Lodhi,Elected,18-May-09,In office,Madhya Pradesh,Damoh,Bharatiya Janata Party,Male,Matric,"Educated at Govt. Higher Secondary School, Distt. Sagar, Madhya Pradesh",66,3,0,19,74%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Shrimant Chh. Udyanraje Pratapsinhmaharaj Bhonsle,Elected,18-May-09,In office,Maharashtra,Satara,Nationalist Congress Party,Male,Post Graduate,"Production Engg., Educated at Bharati Vidyapeeth",44,1,0,2,44%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Shripad Yesso Naik,Elected,18-May-09,In office,Goa,North Goa,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at Goa and Bombay University, Mumbai (Maharashtra) ",57,11,0,22,78%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,9.5,0.5,46,87%,
Shriprakash Jaiswal,Elected,18-May-09,In office,Uttar Pradesh,Kanpur,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at D.A.V. College, Kanpur, Uttar Pradesh",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shruti Choudhry,Elected,18-May-09,In office,Haryana,Bhiwani-Mahendragarh,Indian National Congress,Female,Graduate,"B.A., LL.B.; Educated at Univeristy of Delhi and B.R. Ambedkar University, Agra",34,2,0,98,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,33,73%,
Sidhant Mohapatra,Elected,18-May-09,In office,Orissa,Berhampur,Biju Janata Dal,Male,Post Graduate,M.B.A.; Educated at Institute of Marketing and Management,44,1,0,4,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Sisir Kumar Adhikari,Elected,18-May-09,In office,West Bengal,Kanthi,All India Trinamool Congress,Male,Inter/ Higher Secondary,I.Sc.,68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sivakumar @ J.K. Ritheesh. K,Elected,18-May-09,In office,Tamil Nadu,Ramanthapuram,Dravida Munnetra Kazhagam,Male,Graduate,"B.E. (Civil), D.C.E.,; Educated at Alagappa Engneering College, Karaikudi, Tamil Nadu",37,5,0,14,40%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Sk. Nurul Islam,Elected,18-May-09,In office,West Bengal,Basirhat,All India Trinamool Congress,Male,Matric,ALIM; Educated at Khorki Sr. Madrasa,46,1,0,0,53%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Sk. Saidul Haque,Elected,18-May-09,In office,West Bengal,Bardhaman-Durgapur,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (English), B.Ed.; Educated at Burdwan Raj College, Burdwan University",56,24,0,71,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Sohan Potai,Elected,18-May-09,In office,Chhattisgarh,Kanker,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Sociology); Educated at Pandit Ravi Shankar University, Raipur (Chhattisgarh) ",52,4,0,0,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Solanki Dinubhai Boghabhal,Elected,18-May-09,In office,Gujarat,Junagadh,Bharatiya Janata Party,Male,Graduate,B.A.,53,0,0,0,16%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Somabhai Gandalal Koli Patel,Elected,18-May-09,In office,Gujarat,Surendranagar,Indian National Congress,Male,Under Matric,"Educated at Viramgam Taluka Shala, Viramgam, Ahmedabad, Gujarat",69,0,0,0,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Somendra Nath Mitra,Elected,18-May-09,In office,West Bengal,Diamond Harbour,All India Trinamool Congress,Male,Graduate,"B.Sc., LL.B.",66,1,0,50,48%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Sonawane Pratap Narayanrao,Elected,18-May-09,In office,Maharashtra,Dhule,Bharatiya Janata Party,Male,Graduate,"B.E.(Civil); Educated at College of Engineering., Pune, (Maharashtra)",61,11,0,86,71%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Sonia Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Rae Bareli,Indian National Congress,Female,Diploma Course,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",63,0,0,0,56%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Srikanta Kumar Jena,Elected,18-May-09,In office,Orissa,Balasore,Indian National Congress,Male,Graduate,"B.A.; Educated at Kendrapara College, Utkal University, Cuttack, Orissa",60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Subhash Bapurao Wankhede,Elected,18-May-09,In office,Maharashtra,Hingoli,Shiv Sena,Male,Matric,"Educated at Zilla Parishad School, Hadgaon, Maharashtra",47,2,0,92,60%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Subodh Kant Sahay,Elected,18-May-09,In office,Jharkhand,Ranchi,Indian National Congress,Male,Graduate,"B.Sc., LL.B.; Educated at A.N. College, Patna and Ranchi University",59,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sucharu Ranjan Haldar,Elected,18-May-09,In office,West Bengal,Ranaghat,All India Trinamool Congress,Male,Post Graduate,"M.B.B.S., DTM&H, DDV, M.D.; Educated at (i) Kanakrapara Municiapal Polytechnic High School, (ii) Hooghly Mohsin College, (iii) Medical College, Kolkata, (iv) Kolkata School of Tropical Medicine, (v) University College of Medicine (Kolkata University) and ",70,2,0,0,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Sudarshan Bhagat,Elected,18-May-09,In office,Jharkhand,Lohardaga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",40,3,0,122,77%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Sudip Bandyopadhyay,Elected,18-May-09,In office,West Bengal,Kolkata Uttar,All India Trinamool Congress,Male,Graduate,"B.Sc.; Educated at K.N. College, Berhampore, West Bengal",57,27,0,0,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Sukender Reddy Gutha,Elected,18-May-09,In office,Andhra Pradesh,Nalgonda,Indian National Congress,Male,Graduate,"B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",56,6,0,53,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Sukhdev Singh Libra,Elected,18-May-09,In office,Punjab,Fatehgarh Sahib,Indian National Congress,Male,Matric,"Educated at Shri Guru Govind Singh High School, Khanna, Distt. Ludhiana, Punjab",77,0,0,33,99%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Sultan Ahmed,Elected,18-May-09,In office,West Bengal,Uluberia,All India Trinamool Congress,Male,Graduate,"Calcutta University, West Bengal",57,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sumitra Mahajan,Elected,18-May-09,In office,Madhya Pradesh,Indore,Bharatiya Janata Party,Female,Post Graduate,"M.A., LL.B.; Educated at Indore University, Indore (Madhya Pradesh) ",67,13,1,186,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Supriya Sule,Elected,18-May-09,In office,Maharashtra,Baramati,Nationalist Congress Party,Female,Graduate,"B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra",41,15,4,316,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Surendra Singh Nagar,Elected,18-May-09,In office,Uttar Pradesh,Gautam Buddha Nagar,Bahujan Samaj Party,Male,Graduate,"B.Com; Educated at SSV (PG) College, Hapur, Ghaziabad, Uttar Pradesh",45,3,0,4,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Suresh Channabasappa Angadi,Elected,18-May-09,In office,Karnataka,Belgaum,Bharatiya Janata Party,Male,Graduate,"B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum",55,4,0,63,71%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
Suresh Kalmadi,Elected,18-May-09,In office,Maharashtra,Pune,Indian National Congress,Male,Graduate,"B.A.; Educated at Fergusson College, Pune, National Defence Academy, Kharakvasla and Air Force Flying College, Jodhpur and Allahabad",66,0,0,43,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Suresh Kashinath Taware,Elected,18-May-09,In office,Maharashtra,Bhiwandi,Indian National Congress,Male,Graduate,"B.Com; Educated at B.N.N. College, Bhiwandi",50,0,0,20,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Suresh Kodikunnil,Elected,18-May-09,In office,Kerala,Mavelikkara,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Government Law College, Trivandrum (Kerala) ",48,21,0,256,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,17.4,0.2,99,90%,
Suresh Kumar Shetkar,Elected,18-May-09,In office,Andhra Pradesh,Zahirabad,Indian National Congress,Male,Graduate,"B.Sc. (Agriculture); Educated at Marathwada Agricultural University Parbhani, Maharashtra",49,10,0,183,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Sushil Kumar Sambhajirao Shinde,Elected,18-May-09,In office,Maharashtra,Solapur,Indian National Congress,Male,Graduate,"B.A. (Hons.), LL.B.; Educated at Sangameshwar and Dayanand College, Solapur, Shivaji University, Kolhapur and New Law College, Mumbai University , Maharashtra",68,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sushil Kumar Singh,Elected,18-May-09,In office,Bihar,Aurangabad,Janata Dal (United),Male,Post Graduate,"M.A. (Political Science); Educated at A.N. College, Magadh University, Patna (Bihar) ",47,7,0,126,76%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Sushila Saroj,Elected,18-May-09,In office,Uttar Pradesh,Mohanlalganj,Samajwadi Party,Female,Post Graduate,"M.A., B.Ed., LL.B.; Educated at Lucknow, Gorakhpur University, Uttar Pradesh",59,8,0,156,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Sushma Swaraj,Elected,18-May-09,In office,Madhya Pradesh,Vidisha,Bharatiya Janata Party,Female,Graduate,"B.A., L.L.B.; Educated at S.D. College, Ambala Cantt. (Haryana) and Law Deptt. Panjab University, Chandigarh",58,30,0,41,94%,"This MP was appointed the Leader of Opposition at the end of Winter Session, 2009 and hence, is not required to sign the attendance register. Attendance is thus available only till 21st December, 2009. (All data updated till 4th Aug 2010)",9.1,0.2,69,79%,7.2,0,49,79%,
Susmita Bauri,Elected,18-May-09,In office,West Bengal,Bishnupur,Communist Party of India (Marxist),Female,Graduate,"LL.B.; Educated at Hazra, Law College, Calcutta University, West Bengal",35,10,0,12,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Suvendu Adhikari,Elected,18-May-09,In office,West Bengal,Tamluk,All India Trinamool Congress,Male,Graduate,B.A. (Hons.); Educated at Contai P. K. College,39,7,0,7,30%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Syed Shahnawaz Hussain,Elected,18-May-09,In office,Bihar,Bhagalpur,Bharatiya Janata Party,Male,Diploma Course,"Diploma in Engineering (Electronics); Educated at B.S.S.E., Supaul, Patna and ITI, Pusa, Delhi",41,19,0,136,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
T.K.S. Elangovan,Elected,18-May-09,In office,Tamil Nadu,Chennai North,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. (English Literature); Educated at Pachayappa`s College, Chennai",55,15,0,0,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Tabassum Hasan,Elected,18-May-09,In office,Uttar Pradesh,Kairana,Bahujan Samaj Party,Female,Matric,,39,0,0,0,70%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Takam Sanjoy,Elected,18-May-09,In office,Arunachal Pradesh,Arunachal West,Indian National Congress,Male,Graduate,"I.T.I (Mech.), B.A. & LL.B (Final); Educated at Rajiv Gandhi University and Don Bosco Technical School, Shillong, Dera Natung College, Itanagar, Shillong Law College, (NEHU) ",43,2,0,22,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,4.5,0,13,87%,
Tapas Paul,Elected,18-May-09,In office,West Bengal,Krishnanagar,All India Trinamool Congress,Male,Graduate,B.Sc. (Bio Science); Educated at Burdwan University,51,3,0,0,63%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Tarachand Bhagora,Elected,18-May-09,In office,Rajasthan,Banswara,Indian National Congress,Male,Post Graduate,"M.A. (Pol. Sc.); Educated at Govt. P.G. College, Dungarpur, Rajasthan",56,1,0,17,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Tarun Mandal,Elected,18-May-09,In office,West Bengal,Jaynagar,Independent,Male,Graduate,"M.B.B.S., P.G.C.C.H.M.; Educated at Medical College, Calcutta University and National Institute of Health & Family Welfare, New Delhi",51,35,0,2,78%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Tathagata Satpathy,Elected,18-May-09,In office,Orissa,Dhenkanal,Biju Janata Dal,Male,Graduate,"B.A.; Educated at Sri Aurobindo International Centre of Education, Pondicherry",54,9,0,168,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Thalikkottai Rajuthevar Baalu,Elected,18-May-09,In office,Tamil Nadu,Sriperumbudur,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., L.C.E.; Educated at New College, University of Madras, Chennai and Central Polytechnic, Chennai, Tamil Nadu",69,15,0,75,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Thangso Baite,Elected,18-May-09,In office,Manipur,Outer Manipur,Indian National Congress,Male,Post Graduate,M.A.,57,1,0,0,99%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,10.5,0,41,99%,
Thirumaa Valavan Thol,Elected,18-May-09,In office,Tamil Nadu,Chidambaram,Viduthalai Chiruthaigal Katchi,Male,Post Graduate,"B.L., M.A. (Criminology), B.Sc. (Chemistry); Educated at Presidency College, Chennai and Madras Law College, University of Madras, Chennai",48,8,0,4,40%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Thokchom Meinya,Elected,18-May-09,In office,Manipur,Inner Manipur,Indian National Congress,Male,Doctorate,"M.Sc., LL.B., M. Phil, Ph. D.; Educated at D.M. College, Imphal, Guwahati University, Guwahati and Osmania University, Hyderabad",64,20,0,81,100%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,10.5,0,41,99%,
Tufani Saroj,Elected,18-May-09,In office,Uttar Pradesh,Machhlishahr,Samajwadi Party,Male,Graduate,"B.A.; Educated at Baldeo Degree College, Baragaon, Varanasi (Uttar Pradesh) ",54,26,0,78,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Tushar Amarsinh Chaudhary,Elected,18-May-09,In office,Gujarat,Bardoli,Indian National Congress,Male,Graduate,"M.B.B.S.; Educated at M.S. University, Baroda, Gujarat",44,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Udasi Shivkumar Chanabasappa,Elected,18-May-09,In office,Karnataka,Haveri,Bharatiya Janata Party,Male,Graduate,"B.E.; Educated at Bangalore Institute of Engineering, Bangalore, Karnataka",43,0,0,2,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
Uday Pratap Singh,Elected,18-May-09,In office,Madhya Pradesh,Hoshangabad,Indian National Congress,Male,Graduate,B.Com Educated at Sagar University,46,3,0,7,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Uday Singh Alias Pappu Singh,Elected,18-May-09,In office,Bihar,Purnia,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Higher Secondary; Eduated at Delhi Public School (1970) ,57,7,0,141,69%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
